fonKodu,raporTarihi,kurucu,kurucuDuzeni,satir,agirlikToplam,tefasGun,tefasSapma,sapmaSebebi,tefasSinifToplami,raporIciTutarsizlik,listeTam,eksikKalem,satirIciSinanan,satirIciHata,hisseSatir,yabanciHisseSatir,bistKoduBos,adTemiz,durum,sebep,not
HKJ,2026-09,HEDEF PORTFÖY YÖNETİMİ A.Ş.,standart,107,100.0,2026-09-07,0.0,,100.0,,true,,1,0,0,0,0,48,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
KHP,2026-08,KUVEYT TÜRK PORTFÖY YÖNETİMİ A.Ş.,standart,83,100.0,2026-09-01,0.0,,100.0,,true,,1,0,0,0,0,83,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
PKV,2026-09,PARDUS PORTFÖY YÖNETİMİ A.Ş.,standart,80,100.0,2026-09-07,0.0,,100.0,,true,,6,0,0,0,0,9,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TP2,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,971,100.0,2026-09-01,0.0,,100.0,,true,,56,0,0,0,0,968,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
DOH,2026-09,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,68,100.0,2026-09-07,0.0,,100.0,,true,,66,0,62,0,0,67,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
FSU,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,33,100.0,2026-09-01,0.0,,100.0,,true,,30,0,17,0,0,32,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
THF,2026-08,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,163,100.0,2026-09-01,0.14,veri_gunu_yaklasik,100.0,,true,,126,0,125,0,0,128,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TLY,2026-09,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,286,100.0,2026-09-07,0.0,,100.0,,true,,66,0,54,0,0,73,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMM,2026-09,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,17,100.0,2026-09-07,0.0,,100.0,,true,,6,0,1,2,0,17,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TMV,2026-09,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,81,100.0,2026-09-07,0.0,,100.0,,true,,62,0,60,0,0,66,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
TRU,2026-09,TERA PORTFÖY YÖNETİMİ A.Ş.,standart,10,100.0,2026-09-07,0.0,veri_gunu_yaklasik,100.0,,true,,4,0,0,0,0,9,yayimlandi,,gunluk tur; birikimli hal arsiv/fon_icerik_YYYY-MM.csv.gz
