fonKodu,raporTarihi,kiymetAdi,kiymetAdiHam,bistKodu,ihracci,isin,tur,nominal,rayicDeger,agirlik,kurucuDuzeni,kaynak,listeTam,satirTuru,veriGunu,raporBasligi
GZE,2026-08,TÜREV TEMİNAT,TÜREV TEMİNAT,,TÜREV TEMİNAT,,Ç.TÜREV ARAÇLAR TÜREV TEMİNAT,,2076050.19,0.1404,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,TÜREV TEMİNAT,TÜREV TEMİNAT,,TÜREV TEMİNAT,,Ç.TÜREV ARAÇLAR TÜREV TEMİNAT,,73560535.0,4.976,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,BIST,BIST,,BIST,TRT190728T34,G.DİĞER VARLIKLAR TERS REPO,52052683.84,52052683.84,3.5211,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGAPO01274,G.1.KATILMA PAYLARI YATIRIM FONU,28925169.0,85306600.14,5.7706,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGAPO01274,G.1.KATILMA PAYLARI YATIRIM FONU,6664580.0,19655292.63,1.3296,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGRAN00027,G.1.KATILMA PAYLARI YATIRIM FONU,8077924.0,13591785.68,0.9194,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGRAN00027,G.1.KATILMA PAYLARI YATIRIM FONU,25823628.0,43450423.29,2.9392,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGAPO00391,G.1.KATILMA PAYLARI YATIRIM FONU,2999087.0,37923344.15,2.5653,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGAPO00391,G.1.KATILMA PAYLARI YATIRIM FONU,1459160.0,18451024.21,1.2481,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,,GARANTİ PORTFÖY YÖNETİMİ A.Ş.,TRYGAPO00391,G.1.KATILMA PAYLARI YATIRIM FONU,3387502.0,42834837.45,2.8976,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,CMODLN-LND,CMODLN-LND,,CMODLN-LND,IE00BD6FTQ80,G.1.KATILMA PAYLARI YABANCI BORSA YATIRIM FONU KATILMA PAYLARI,30000.0,50409796.8,3.41,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,CMODLN-LND,CMODLN-LND,,CMODLN-LND,IE00BD6FTQ80,G.1.KATILMA PAYLARI YABANCI BORSA YATIRIM FONU KATILMA PAYLARI,35000.0,58811429.6,3.9783,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,CMODLN-LND,CMODLN-LND,,CMODLN-LND,IE00BD6FTQ80,G.1.KATILMA PAYLARI YABANCI BORSA YATIRIM FONU KATILMA PAYLARI,21000.0,35286857.76,2.387,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,CMODLN-LND,CMODLN-LND,,CMODLN-LND,IE00BD6FTQ80,G.1.KATILMA PAYLARI YABANCI BORSA YATIRIM FONU KATILMA PAYLARI,30000.0,50409796.8,3.41,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,CMODLN-LND,CMODLN-LND,,CMODLN-LND,IE00BD6FTQ80,G.1.KATILMA PAYLARI YABANCI BORSA YATIRIM FONU KATILMA PAYLARI,23000.0,38647510.88,2.6143,garanti,kap,true,pozisyon,2026-08-31,2026-08
GZE,2026-08,CMODLN-LND,CMODLN-LND,,CMODLN-LND,IE00BD6FTQ80,G.1.KATILMA PAYLARI YABANCI BORSA YATIRIM FONU KATILMA PAYLARI,40000.0,67213062.4,4.5466,garanti,kap,true,pozisyon,2026-08-31,2026-08
