fonKodu,fonUnvan,fonTipi,fonSinifi,durum,kurucu,fundOid,kategori,kategoriKaynak
AAJ,AGESA HAYAT VE EMEKLİLİK A.Ş. OKS STANDART EMEKLİLİK YATIRIM FONU,OKS,DG,faal,AGESA HAYAT VE EMEKLİLİK A.Ş.,4028328c5fc60da8016077d53b7b311c,Diğer,unvan
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,YF,DG,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E36300EAE0530A4A622B2AEA,Para Piyasası,unvan
AAS,ATA PORTFÖY FON SEPETİ SERBEST FON,YF,SF,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7E74300EAE0530A4A622B2AEA,Fon Sepeti,unvan
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ATA PORTFÖY YÖNETİMİ A.Ş.,33E5FED7EE3700EAE0530A4A622B2AEA,Hisse Senedi,unvan
AB1,AKFEN GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş. BİRİNCİ GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,AKFEN GAYRİMENKUL VE GİRİŞİM SERMAYESİ PORTFÖY YÖNETİMİ A.Ş.,4028328d65442dfb016580b17cfe42b7,Diğer,unvan
AB2,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş. İKİNCİ GAYRİMENKUL YATIRIM FONU,GMF,DG,faal,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,4028328c93c3b40d0193f36292cd4da8,Diğer,unvan
AB5,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARINA YATIRIM YAPAN %115 ANAPARA KORUMA AMAÇLI ALTMIŞBEŞİNCİ FON,YF,DG,faal,AK PORTFÖY YÖNETİMİ A.Ş.,4028328d9d7b24c9019df89f7d2e0ead,Borçlanma Araçları,unvan
ABE,ANADOLU HAYAT EMEKLİLİK A.Ş. S&P 500 YABANCI BYF FON SEPETİ EMEKLİLİK YATIRIM FONU,EYF,DG,faal,ANADOLU HAYAT EMEKLİLİK A.Ş.,33E5FED7EE7300EAE0530A4A622B2AEA,Fon Sepeti,unvan
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,YF,SF,faal,ATLAS PORTFÖY YÖNETİMİ A.Ş.,4028328d8305029e01837f6087017ae8,Serbest,unvan
ABH,PARDUS PORTFÖY YÖNETİMİ A.Ş. PARDUS TEKNOLOJİ GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d80e91791018128e4ef2c1791,Diğer,unvan
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),YF,HS,faal,ALLBATROSS PORTFÖY YÖNETİMİ A.Ş.,4028328c84686b410184855f32316c02,Hisse Senedi,unvan
ABM,PARDUS PORTFÖY YÖNETİMİ A.Ş. PARDUS VİZYON GİRİŞİM SERMAYESİ YATIRIM FONU,GSF,DG,faal,PARDUS PORTFÖY YÖNETİMİ A.Ş.,4028328d80e91791018128e5cf7317a0,Diğer,unvan
