fonKodu,yonetimUcretiYillik,ictuzukYonetimUcretiYillik,yonetimUcretiGunluk,performansUcreti,girisKomisyonu,cikisKomisyonu,tarih,kaynak
AAL,1,1,"0,00274",,,,2026-09-11,KAP genel bilgiler
AAS,"0,75","0,75","0,002055",,,,2026-09-11,KAP genel bilgiler
AAV,"2,25","2,25","0,006164",,,,2026-09-11,KAP genel bilgiler
AB5,"2,05","2,05","0,005616",,,,2026-09-11,KAP genel bilgiler
ABG,2,2,"0,0054794",,0,0,2026-09-11,KAP genel bilgiler
ABJ,"0,25",,"0,000685",,,,2026-09-11,KAP genel bilgiler
ABS,"0,70","2,90","0,001920",,,,2026-09-11,KAP genel bilgiler
ABU,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
AC1,1,,"0,00274",,,,2026-09-11,KAP genel bilgiler
AC2,1,,"0,002739",,,,2026-09-11,KAP genel bilgiler
AC3,"0,5",,"0,00136986",,,,2026-09-11,KAP genel bilgiler
AC4,1,,"0,00274",,,,2026-09-11,KAP genel bilgiler
AC5,"1,5",,"0,004109",,,,2026-09-11,KAP genel bilgiler
AC6,"2,5",,"0,006849",,,,2026-09-11,KAP genel bilgiler
AC7,1,,"0,00274","7,5",,,2026-09-11,KAP genel bilgiler
AC8,"1,00",,"0,002739","7,5",,,2026-09-11,KAP genel bilgiler
ACC,"2,56",,"0,007",,0,0,2026-09-11,KAP genel bilgiler
ACD,"2,10",,"0,005754",,,,2026-09-11,KAP genel bilgiler
ACN,"0,958",,"0,002625",,0,0,2026-09-11,KAP genel bilgiler
ACU,"1,095",,"0,003",0,0,0,2026-09-11,KAP genel bilgiler
AD4,"2,05","2,05","0,005616",0,0,0,2026-09-11,KAP genel bilgiler
ADE,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
ADP,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
AED,"1,75","1,75","0,00479",,,,2026-09-11,KAP genel bilgiler
AES,"2,9","2,9","0,00795",,,,2026-09-11,KAP genel bilgiler
AEV,"3,00",,"0,008219",,,,2026-09-11,KAP genel bilgiler
AFA,"2,90","2,90","0,00795",,,,2026-09-11,KAP genel bilgiler
AFO,"2,04","2,04","0,00559",,,,2026-09-11,KAP genel bilgiler
AFS,"2,9","2,9","0,007945",,,,2026-09-11,KAP genel bilgiler
AFT,"2,9","2,9","0,00795",,,,2026-09-11,KAP genel bilgiler
AFV,"2,90","2,90","0,00795",,,,2026-09-11,KAP genel bilgiler
AGC,"1,5","1,5",",00411",0,0,0,2026-09-11,KAP genel bilgiler
AHH,"0,42",,"0,001150",10,,,2026-09-11,KAP genel bilgiler
AHI,"2,90","2,90","0,007945",0,0,0,2026-09-11,KAP genel bilgiler
AHN,"1,5","1,5","0,00411",0,0,0,2026-09-11,KAP genel bilgiler
AHU,"1,40","1,40","0,00384",0,0,0,2026-09-11,KAP genel bilgiler
AHV,2,,"0,005479",,,,2026-09-11,KAP genel bilgiler
AHZ,"0,50",,"0,001369",10,,,2026-09-11,KAP genel bilgiler
AI1,"1,5","1,5","0,00411",,,,2026-09-11,KAP genel bilgiler
AIH,"0,24","0,24","0,000658",,,,2026-09-11,KAP genel bilgiler
AII,"0,2520","0,2520","0,0006904",,,,2026-09-11,KAP genel bilgiler
AIM,"0,24","0,24","0,000658",,,,2026-09-11,KAP genel bilgiler
AIR,"0,2415","0,2415","0,0006616",0,0,0,2026-09-11,KAP genel bilgiler
AIS,"0,39","0,85","0,00107",,,,2026-09-11,KAP genel bilgiler
AJ1,3,,"0,00821917",,,,2026-09-11,KAP genel bilgiler
AJE,"1,10","1,10","0,0030136",,0,0,2026-09-11,KAP genel bilgiler
AJK,"0,90","0,9","0,00247",,0,0,2026-09-11,KAP genel bilgiler
AJL,"0,85","1,5","0,00233",0,0,"1,25",2026-09-11,KAP genel bilgiler
AJN,"1,1","1,1","0,003013",0,0,"1,25",2026-09-11,KAP genel bilgiler
AK2,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
AK3,"3,4","3,4","0,00932",,,,2026-09-11,KAP genel bilgiler
AKE,"2,90","2,90","0,00795",,,,2026-09-11,KAP genel bilgiler
AKU,2,2,"0,00548",,,,2026-09-11,KAP genel bilgiler
AL4,,,,,,,2026-09-11,KAP genel bilgiler
AL5,,,,,,,2026-09-11,KAP genel bilgiler
AL6,"1,46","1,46","0,004",0,0,0,2026-09-11,KAP genel bilgiler
AL7,,,,,,,2026-09-11,KAP genel bilgiler
ALC,"2,95","2,95","0,00808",,,,2026-09-11,KAP genel bilgiler
ALE,"1,53","1,53","0,00419",,,,2026-09-11,KAP genel bilgiler
AN1,3,3,"0,00822",0,0,0,2026-09-11,KAP genel bilgiler
ANL,"1,28","1,28","0,00351",,,,2026-09-11,KAP genel bilgiler
ANZ,"0,75","0,75","0,002055",,,,2026-09-11,KAP genel bilgiler
AOJ,"1,00",,"0,002740",,,,2026-09-11,KAP genel bilgiler
AOY,"2,9","2,9","0,00795",,,,2026-09-11,KAP genel bilgiler
AP2,"1,05","1,05","0,002877",0,0,0,2026-09-11,KAP genel bilgiler
AP4,"1,50","1,50","0,004109",,,,2026-09-11,KAP genel bilgiler
AP5,1,1,"0,002739",,0,0,2026-09-11,KAP genel bilgiler
AP6,1,,"0,00274",,,,2026-09-11,KAP genel bilgiler
AP7,"4,5",,"0,012328",,,,2026-09-11,KAP genel bilgiler
AP9,"0,8","0,8","0,002192",,,,2026-09-11,KAP genel bilgiler
APJ,"1,7","1,7","0,00466",0,0,0,2026-09-11,KAP genel bilgiler
APP,"0,20","0,20","0,00055",,,,2026-09-11,KAP genel bilgiler
APT,"2,0",,"0,00548",,,,2026-09-11,KAP genel bilgiler
ARE,"2,5",,"0,006849",,,,2026-09-11,KAP genel bilgiler
ARF,"0,7","0,7","0,00192",,,,2026-09-11,KAP genel bilgiler
ARL,"1,95","1,95","0,00534",,,,2026-09-11,KAP genel bilgiler
ARM,"1,95","1,95","0,00534",,,,2026-09-11,KAP genel bilgiler
ARP,"0,11","0,11","0,000301",,,,2026-09-11,KAP genel bilgiler
AS1,"0,25",,"0,000685",,,,2026-09-11,KAP genel bilgiler
AS3,"2,50",,"0,00685",,,,2026-09-11,KAP genel bilgiler
ASJ,"2,75","2,75","0,00753",,,,2026-09-11,KAP genel bilgiler
ATJ,"0,40",,"0,001095",,,,2026-09-11,KAP genel bilgiler
AU1,"1,4",,"0,003835",,,,2026-09-11,KAP genel bilgiler
AU3,"2,05","2,05","0,005616",,,,2026-09-11,KAP genel bilgiler
AUV,"1,5","1,5","0,00411",0,0,0,2026-09-11,KAP genel bilgiler
AVC,"1,5","1,5","0,00411","26,25",,,2026-09-11,KAP genel bilgiler
AVT,"2,43","2,43","0,00666",,,,2026-09-11,KAP genel bilgiler
AVZ,"0,80","0,80","0,0022",,0,"0,75",2026-09-11,KAP genel bilgiler
AY6,"1,05",,"0,002877",,,,2026-09-11,KAP genel bilgiler
AY7,"1,05",,"0,002877",,,,2026-09-11,KAP genel bilgiler
AYA,"2,50","2,50","0,00685",,,,2026-09-11,KAP genel bilgiler
AYR,"2,5","2,5","0,00685",,,,2026-09-11,KAP genel bilgiler
AZF,"0,25","0,25","0,00068",,,,2026-09-11,KAP genel bilgiler
AZJ,2,,"0,005479",10,,,2026-09-11,KAP genel bilgiler
AZV,"0,10",,"0,000274",,,,2026-09-11,KAP genel bilgiler
