fonKodu,ilkFiyatAyi,sinir,kaynak,olcumTarihi
AAL,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AAS,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AAV,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ABG,2022-12,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ABJ,2022-12,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ABU,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC1,2023-07,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC2,2022-12,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC3,2022-12,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC4,2023-05,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC5,2022-11,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC6,2023-04,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC7,2022-12,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
AC8,2022-12,kesin,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ACC,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ACD,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ACN,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ACU,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
ADE,2021-09,en_gec,"TEFAS fiyat serisi, 130 aylık pencere 2021-09..2026-09",2026-09-11
