tarih,hisse,kapanisDuzeltilmis,kapanisHam,hacim,xu100,usdTry
2026-09-07,ALTNY,16.53,16.53,222111168.0,14151.59,48.4336
2026-09-07,ANSGR,26.08,26.08,71345550.0,14151.59,48.4336
2026-09-07,BALSU,7.82,7.82,712192241.0,14151.59,48.4336
2026-09-07,DSTKF,2390.0,2390.0,2740857555.0,14151.59,48.4336
2026-09-07,GRSEL,296.0,296.0,107305156.0,14151.59,48.4336
2026-09-07,IEYHO,217.0,217.0,168054437.0,14151.59,48.4336
2026-09-07,ISMEN,33.84,33.84,250301658.0,14151.59,48.4336
2026-09-07,ODINE,1190.0,1190.0,7354200.0,14151.59,48.4336
2026-09-07,OTKAR,317.25,317.25,96525318.0,14151.59,48.4336
2026-09-07,TKFEN,207.0,207.0,724909140.0,14151.59,48.4336
2026-09-07,TRMET,138.2,138.2,387993676.0,14151.59,48.4336
2026-09-07,TSKB,11.11,11.11,136171107.0,14151.59,48.4336
2026-09-07,YKBNK,36.26,36.26,6886579522.0,14151.59,48.4336
