fonKodu,fonAd,kategori,semsiye,kurucu,riskDegeri,g1y,g3y,g5y
AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası,Para Piyasası Şemsiye Fonu,ATA PORTFÖY,1.0,0.429986,2.462667,3.980062
AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,Fon Sepeti,Serbest Şemsiye Fonu,ATA PORTFÖY,5.0,0.3982509999999999,1.330597,2.710831
AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,ATA PORTFÖY,6.0,0.265637,0.903255,12.14168
ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,Serbest,,ATLAS PORTFÖY,,,,
ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,ALLBATROSS PORTFÖY,,,,
ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,Değişken,,AK PORTFÖY,,,,
AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,Kısa Vadeli Borçlanma,Serbest Şemsiye Fonu,PARDUS PORTFÖY,2.0,0.4495519999999999,2.204937,
AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,Serbest,,PARDUS PORTFÖY,,,,
AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,Serbest,,PARDUS PORTFÖY,,,,
AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,Para Piyasası,Para Piyasası Şemsiye Fonu,PARDUS PORTFÖY,1.0,0.501394,2.705935,
AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Serbest Şemsiye Fonu,PARDUS PORTFÖY,3.0,0.349559,1.6930170000000002,
AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest,Serbest Şemsiye Fonu,PARDUS PORTFÖY,6.0,0.1584259999999999,1.087459,
AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,PARDUS PORTFÖY,,,,
AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,PARDUS PORTFÖY,,,,
ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Hisse Senedi,Hisse Senedi Şemsiye Fonu,İSTANBUL PORTFÖY,6.0,0.324134,1.357471,13.915217
ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken,Değişken Şemsiye Fonu,İSTANBUL PORTFÖY,5.0,0.373764,1.7559360000000002,12.189229
ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,Serbest,,İSTANBUL PORTFÖY,,,,
ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,Serbest,Serbest Şemsiye Fonu,İSTANBUL PORTFÖY,5.0,0.244874,1.101983,4.575826
ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,Değişken,Değişken Şemsiye Fonu,AK PORTFÖY,4.0,0.268924,1.949131,3.319448
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,,0.158102,1.318577,12.213771
AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken,Değişken Şemsiye Fonu,ATA PORTFÖY,5.0,0.422935,1.452037,9.131344
AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,Fon Sepeti,Fon Sepeti Şemsiye Fonu,AK PORTFÖY,7.0,0.916275,1.6150479999999998,10.702924
AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,ALLBATROSS PORTFÖY,6.0,0.5120439999999999,1.13258,
AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,6.0,0.438557,2.10668,8.228062
AFO,AK PORTFÖY ALTIN FONU,Kıymetli Madenler,Kıymetli Madenler Şemsiye Fonu,AK PORTFÖY,6.0,0.442951,2.709804,11.594824
AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,,0.393695,1.013305,4.718444
AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,6.0,0.404398,2.266197,8.36068
AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,6.0,0.392364,1.652144,7.581404
AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken,Değişken Şemsiye Fonu,AK PORTFÖY,2.0,0.276416,1.28269,5.363696999999999
AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,Serbest,,AZİMUT PORTFÖY,,,,
AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),Hisse Senedi,Hisse Senedi Şemsiye Fonu,ATLAS PORTFÖY,6.0,0.376711,1.255996,14.446583
AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,Serbest,Serbest Şemsiye Fonu,ATLAS PORTFÖY,7.0,0.174195,1.071501,6.043273
AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları,Borçlanma Araçları Şemsiye Fonu,ATLAS PORTFÖY,1.0,0.433286,2.51626,4.755518
AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,Fon Sepeti,Fon Sepeti Şemsiye Fonu,AZİMUT PORTFÖY,4.0,0.468258,1.882362,8.19429
AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,Fon Sepeti,,AZİMUT PORTFÖY,,,,
AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest,,ATA PORTFÖY,,,,
AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,AK PORTFÖY,,,,
AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,Serbest,,AZİMUT PORTFÖY,,,,
AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,AK PORTFÖY,,,,
AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,Serbest,,AZİMUT PORTFÖY,,,,
AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,Para Piyasası,Katılım Şemsiye Fonu,AK PORTFÖY,1.0,0.472331,2.180445,3.763719
AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Serbest Şemsiye Fonu,A1 CAPİTAL PORTFÖY,2.0,,,
AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,Serbest,,AK PORTFÖY,,,,
AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,Serbest,Serbest Şemsiye Fonu,AK PORTFÖY,,0.218495,0.8796970000000001,5.316269999999999
AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,Serbest,,AK PORTFÖY,,,,
AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,Serbest,,AK PORTFÖY,,,,
AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları,Borçlanma Araçları Şemsiye Fonu,AK PORTFÖY,5.0,0.299617,0.7686750000000001,1.321975
AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,6.0,0.409091,1.63648,15.012264
AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları,Borçlanma Araçları Şemsiye Fonu,AK PORTFÖY,5.0,0.2301689999999999,1.251324,6.130879
AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,6.0,0.432089,1.056206,9.780534
AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,Kısa Vadeli Borçlanma,,ALBARAKA PORTFÖY,,,,
AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,Katılım,,ALBARAKA PORTFÖY,,,,
AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,Kısa Vadeli Borçlanma,,ALBARAKA PORTFÖY,,,,
AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,Kısa Vadeli Borçlanma,,ALBARAKA PORTFÖY,,,,
ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,6.0,0.423892,1.6197229999999998,10.003192
ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,Para Piyasası,,AK PORTFÖY,,,,
AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,Değişken,Değişken Şemsiye Fonu,STRATEJİ PORTFÖY,,0.428019,2.092237,10.757204
ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,Para Piyasası,,AK PORTFÖY,,,,
ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,Serbest,Serbest Şemsiye Fonu,ATA PORTFÖY,,0.220767,1.17794,6.344075
AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Serbest Şemsiye Fonu,ALLBATROSS PORTFÖY,6.0,0.0948199999999999,0.657911,
AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,Hisse Senedi,Hisse Senedi Şemsiye Fonu,AK PORTFÖY,7.0,0.443739,0.666316,2.333374
AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,Serbest,,ATLAS PORTFÖY,,,,
AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,ATLAS PORTFÖY,,,,
AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Serbest Şemsiye Fonu,ATLAS PORTFÖY,6.0,-0.1903979999999999,,
AP6,PARDUS PORTFÖY ALTINCI HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,PARDUS PORTFÖY,,,,
AP7,PARDUS PORTFÖY ALGO ETNA İSTATİSTİKSEL ARBİTRAJ SERBEST FON,Serbest,Serbest Şemsiye Fonu,PARDUS PORTFÖY,3.0,0.466727,,
APJ,AK PORTFÖY BIST ŞİRKETLERİ FON SEPETİ FONU,Fon Sepeti,Fon Sepeti Şemsiye Fonu,AK PORTFÖY,6.0,0.246035,0.934903,2.869492
APP,AK PORTFÖY P1 SERBEST ÖZEL FON,Serbest,,AK PORTFÖY,,,,
APT,AK PORTFÖY ORTA VADELI BORÇLANMA ARAÇLARI FONU,Borçlanma Araçları,Borçlanma Araçları Şemsiye Fonu,AK PORTFÖY,3.0,0.349074,1.217675,2.004423
ARE,İSTANBUL PORTFÖY YABANCI HİSSE SENEDİ FONU,Hisse Senedi,Hisse Senedi Şemsiye Fonu,İSTANBUL PORTFÖY,6.0,0.519319,1.284616,4.111061
ARF,AK PORTFÖY ÖPY İKİNCİ SERBEST (TL) ÖZEL FON,Serbest,,AK PORTFÖY,,,,
ARL,AK PORTFÖY BİRİNCİ FON SEPETİ FONU,Fon Sepeti,Fon Sepeti Şemsiye Fonu,AK PORTFÖY,,0.3528,1.998662,5.386472
ARM,AK PORTFÖY İKİNCİ FON SEPETİ FONU,Fon Sepeti,Fon Sepeti Şemsiye Fonu,AK PORTFÖY,,0.3181879999999999,1.779864,5.890016
ARP,AK PORTFÖY ÖPY BİRİNCİ SERBEST ÖZEL FON,Serbest,,AK PORTFÖY,,,,
AS1,ALLBATROSS PORTFÖY BİRİNCİ SERBEST (DÖVİZ) FON,Serbest,Serbest Şemsiye Fonu,ALLBATROSS PORTFÖY,5.0,0.061969,,
AS3,ALLBATROSS PORTFÖY ATLAS SERBEST FON,Serbest,,ALLBATROSS PORTFÖY,,,,
ASJ,AKTİF PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,AKTİF PORTFÖY,6.0,0.331242,1.186315,
ATJ,AZİMUT PORTFÖY İKİNCİ DEĞİŞKEN FON,Değişken,Değişken Şemsiye Fonu,AZİMUT PORTFÖY,6.0,0.378423,1.271407,14.850185
AU1,A1 CAPİTAL PORTFÖY ALTIN FONU,Kıymetli Madenler,Kıymetli Madenler Şemsiye Fonu,A1 CAPİTAL PORTFÖY,6.0,,,
AUV,AK PORTFÖY UZUN VADELİ SERBEST (DÖVİZ) FON,Serbest,Serbest Şemsiye Fonu,AK PORTFÖY,,0.2354329999999999,,
AVC,ATA PORTFÖY İKİNCİ SERBEST (TL) FON,Serbest,,ATA PORTFÖY,,,,
AVT,AK PORTFÖY KISA VADELİ BORÇLANMA ARAÇLARI (TL) FONU,Kısa Vadeli Borçlanma,,AK PORTFÖY,,,,
AVZ,AK PORTFÖY EMS SERBEST ( DÖVİZ ) ÖZEL FON,Serbest,,AK PORTFÖY,,,,
AY6,AZİMUT PORTFÖY 26.0 SERBEST FON,Serbest,,AZİMUT PORTFÖY,,,,
AY7,AZİMUT PORTFÖY 27.0 SERBEST FON,Serbest,,AZİMUT PORTFÖY,,,,
AYA,ATA PORTFÖY KAR PAYI ÖDEYEN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,Hisse Senedi Şemsiye Fonu,ATA PORTFÖY,6.0,0.223933,0.716117,6.273002
AYR,AK PORTFÖY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) FONU,Borçlanma Araçları,Borçlanma Araçları Şemsiye Fonu,AK PORTFÖY,1.0,0.459825,2.373604,4.090394
AZF,AK PORTFÖY PY ÖZEL SEKTÖR BORÇLANMA ARAÇLARI (TL) ÖZEL FONU,Borçlanma Araçları,,AK PORTFÖY,,,,
AZJ,AZİMUT PYŞ STRATEJİ-1 SERBEST FON,Serbest,,AZİMUT PORTFÖY,,,,
AZV,AZİMUT PORTFÖY BKS SERBEST (DÖVİZ) ÖZEL FON,Serbest,,AZİMUT PORTFÖY,,,,
AZZ,AK PORTFÖY ÖPY MUTLAK GETİRİ HEDEFLİ SERBEST (DÖVİZ) ÖZEL FON,Serbest,,AK PORTFÖY,,,,
BA1,GLOBAL MD PORTFÖY BİRİNCİ SERBEST FON,Serbest,,GLOBAL MD PORTFÖY,,,,
BAC,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Hisse Senedi,,ATLAS PORTFÖY,,,,
BAG,BULLS PORTFÖY ATAK DEĞIŞKEN FON,Diğer,Değişken Şemsiye Fonu,BULLS PORTFÖY,4.0,,,
