tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-07,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,3.546534,4408,2080530138.57,586637529
2026-09-07,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,12.995443,152,18246668.27,1404082
2026-09-07,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),62.423872,1967,122175128.03,1957186
2026-09-07,ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,127.229119,178,16271288520.04,127889658
2026-09-07,ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0.700381,3,936648782.73,1337341991
2026-09-07,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0.106936,37,62055501.55,580303972
2026-09-07,AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,3.283699,202,392077204.3,119401083
2026-09-07,AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,2.780855,44,20655975632.67,7427922197
2026-09-07,AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,64.286953,14,134395861.33,2090562
2026-09-07,AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,4.07639,4177,2090408913.78,512808825
2026-09-07,AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3.771633,146,23007333.64,6100099
2026-09-07,AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,58.111282,79,75940694.97,1306815
2026-09-07,AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),4.806131,44,3100435513.71,645100136
2026-09-07,AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),187.037247,96,2832401725.56,15143517
2026-09-07,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),43.827641,1308,115459055.99,2634389
2026-09-07,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,6.168841,1480,353613178.51,57322461.766
2026-09-07,ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,12.737579,16,653908368.99,51336945
2026-09-07,ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,57.511442,157,1449684711.3,25206892
2026-09-07,ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,0.89911,25638,696739933.58,774921622
2026-09-07,ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.287791,21274,3936312899.37,3056638540
2026-09-07,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,116.023359,1395,67157347.45,578826.09
2026-09-07,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0.188589,35046,1380004892.62,7317521056
2026-09-07,AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.068539,413,8880659.89,4293205
2026-09-07,AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,1.311459,47027,5559753705.14,4239363885
2026-09-07,AFO,AK PORTFÖY ALTIN FONU,1.360915,81737,19797458035.06,14547171034
2026-09-07,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0.357552,29271,928750890.08,2597527807
2026-09-07,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,0.999605,137469,19340946453.27,19348589205
2026-09-07,AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,0.610953,14945,1268703784.66,2076596396
2026-09-07,AGC,AK PORTFÖY İKİNCİ DEĞİŞKEN FON,9.480463,2462,103632351.24,10931149
2026-09-07,AHH,AZİMUT PORTFÖY DİNAMİK DAĞIMLI SERBEST FON,11.056992,15,236294653.4,21370610
2026-09-07,AHI,ATLAS PORTFÖY BİRİNCİ HİSSE SENEDİ FONU(HİSSE SENEDİ YOĞUN),35.587804,2676,112038627.59,3148231
2026-09-07,AHN,ATLAS PORTFÖY SERBEST(DÖVİZ)FON,70.313823,108,34907297.5,496450
2026-09-07,AHU,ATLAS PORTFÖY BİRİNCİ ÖZEL SEKTÖR BORÇLANMA ARAÇLARI FONU,11.5698,591,110608915.96,9560141
2026-09-07,AHV,AZİMUT PORTFÖY DENGELİ FON SEPETİ FONU,21.918885,201,136002145.98,6204793
2026-09-07,AHZ,AZİMUT PORTFÖY ATAK FON SEPETİ SERBEST FON,31.865873,13,100786020.65,3162820
2026-09-07,AI1,ATA PORTFÖY BİRİNCİ İSTATİSTİKSEL ARBİTRAJ SERBEST FON,1.269236,17,62088159.63,48917729
2026-09-07,AIH,AK PORTFÖY RTH HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),16.865701,4,160404011.5,9510664
2026-09-07,AII,AZİMUT PORTFÖY ÇINAR SERBEST (DÖVİZ) ÖZEL FON,97.399783,3,383949944.48,3942000
2026-09-07,AIM,AK PORTFÖY MİMKA HİSSE SENEDİ SERBEST ÖZEL FON (HİSSE SENEDİ YOĞUN FON),27.00279,1,58387782.86,2162287
2026-09-07,AIR,AZİMUT PORTFÖY ESİN SERBEST (DÖVİZ) ÖZEL FON,167.439609,3,1499137723.69,8953304
2026-09-07,AIS,AK PORTFÖY PARA PİYASASI KATILIM FONU,0.109357,22848,16007763495.95,146380388916
2026-09-07,AJ1,A1 CAPİTAL PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),1.347777,88,10247240.6,7603067
2026-09-07,AJE,AK PORTFÖY ÜÇÜNCÜ SERBEST ( DÖVİZ ) FON,63.920544,937,2826617314.71,44220796
2026-09-07,AJK,AK PORTFÖY 0-5 YIL VADELİ SERBEST (DÖVİZ) FON,65.176369,132,125098676.07,1919387
2026-09-07,AJL,AK PORTFÖY BEŞİNCİ SERBEST (DÖVİZ) FON,64.928884,1259,4583579149.76,70593838
2026-09-07,AJN,AK PORTFÖY DÖRDÜNCÜ SERBEST (DÖVIZ) FON,62.194175,263,406427301.37,6534813
2026-09-07,AK2,AK PORTFÖY UZUN VADELİ BORÇLANMA ARAÇLARI FONU,0.558286,9172,246578885.1,441671458
2026-09-07,AK3,AK PORTFÖY HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),52.760062,20527,8069536023.37,152947811
2026-09-07,AKE,AK PORTFÖY EUROBOND (AMERİKAN DOLARI) BORÇLANMA ARAÇLARI FONU,0.531643,13382,1046685883.39,1968776933
2026-09-07,AKU,AK PORTFÖY BIST 30 ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.969618,17355,2348405057.66,2421988835
2026-09-07,AL4,ALBARAKA PORTFÖY ALBARAKA TÜRK KISA VADELİ KATILIM SERBEST (TL) FON,4.059533,12,1293148021.36,318546011
2026-09-07,AL5,ALBARAKA PORTFÖY KATILIM SERBEST (DÖVİZ) FON,54.413833,2351,13476107460.98,247659587
2026-09-07,AL6,ALBARAKA PORTFÖY VAKIF KATILIM KISA VADELİ KATILIM SERBEST (TL) FON,3.972475,12,5667105328.01,1426593054
2026-09-07,AL7,ALBARAKA PORTFÖY İKİNCİ KISA VADELİ KATILIM SERBEST (TL) FON,3.829267,110,8700902302.64,2272210931
2026-09-07,ALC,AK PORTFÖY KAR PAYI ÖDEYEN ŞİRKETLER HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0.375148,24918,1636073860.72,4361145594
2026-09-07,ALE,AK PORTFÖY PARA PİYASASI (TL) FONU,13.740011,148213,93229886602.06,6785284705
2026-09-07,AN1,STRATEJİ PORTFÖY BİRİNCİ DEĞİŞKEN FON,112.635603,2859,1355575368.93,12035052.248
2026-09-07,ANL,AK PORTFÖY ALTERNATİF BANK PARA PİYASASI (TL)FONU,38.127182,3613,636735416.43,16700301
2026-09-07,ANZ,ATA PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,21.972091,157,260056236.8,11835753
2026-09-07,AOJ,ALLBATROSS PORTFÖY İNŞAAT SEKTÖRÜ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),1.573606,199,19838939.09,12607314
2026-09-07,AOY,AK PORTFÖY ALTERNATİF ENERJİ YABANCI HİSSE SENEDİ FONU,0.356911,35426,1007695503.6,2823382503
2026-09-07,AP2,ATLAS PORTFÖY BEŞİNCİ SERBEST (TL) FON,3.016077,33,842138793.52,279216621
2026-09-07,AP4,ATLAS PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.970364,11,241832474.74,249218342
2026-09-07,AP5,ATLAS PORTFÖY BEŞİNCİ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),0.832423,17,868982.28,1043919
