tarih,fonKodu,bb,byf,d,db,bpp,btaa,btas,dt,dot,eut,fb,fkb,gas,gsykb,gsyy,gykb,gyy,hb,hs,kba,kh,khau,khd,khtl,kks,kksd,kkstl,kksyd,km,kmbyf,kmkba,kmkks,kibd,osks,ost,r,t,tpp,tr,vdm,vm,vmau,vmd,vmtl,vint,yba,ybkb,ybosb,ybyf,yhs,ymk,yyf,oksyd,osdb
2026-09-01,AAL,,,,,,,,10.12,,,9.59,,,,,,,3.41,,,,,,5.28,,,1.47,,,,,,,0.78,2.72,,,1.26,35.85,3.53,,,,25.95,0.04,,,,,,,,,
2026-09-01,AAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,,,,,69.09,,30.53,,
2026-09-01,AAV,,,,,,,,,,,,,,,,,,,86.91,,,,,,,,,,,,,,,,,,,,,,,,,,9.45,,,,,,,3.64,,
2026-09-01,ABG,,,,,,,,,,,,,,,,,,,112.47,,,,,,,,,,,,,,,,,-12.47,,,,,,,,,,,,,,,,,,
2026-09-01,ABJ,,,,,,,,,,,,,,,,,,,82.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.28,,
2026-09-01,ABU,,,,,,,,53.09,,,8.75,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,8.34,29.17,,,,,,,,,,,,,,,
2026-09-01,AC1,,,4.9,,,,50.81,,,,,,,,,,,,,,,,,36.98,,,5.52,,,,,,,1.79,,,,,,,,,,,,,,,,,,,,
2026-09-01,AC2,,,,,,,,,,,,,,,,,,,86.41,,,,,,,,,,,,,,,,,-3.64,,,,,,,,,,,,,,,,17.23,,
2026-09-01,AC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100
2026-09-01,AC4,,,,,15.96,,,10.39,,,3.29,,,,,,,0.58,,,,,,,,,,,,,,,,,,,,2.24,55.68,,,,,11.86,,,,,,,,,,
2026-09-01,AC5,,,,,,,,,,,,,,,,,,,91.3,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,,,,,,,,,
2026-09-01,AC6,,,,,,,,,,,,,,,,,,,,14.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.76
2026-09-01,AC7,,,,,-62.92,,,,,,,,,,,,,,165.77,,,,,,,,,,,,,,,,,-2.85,,,,,,,,,,,,,,,,,,
2026-09-01,AC8,,,,,,,,,,,,,,,,,,,83.37,,,,,,,,,,,,,,,,,,,,,,,,,,4.38,,,,,,,12.25,,
