tarih,fonKodu,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-04,AAL,3.538354,4411,2054872519.23,580742499
2026-09-04,AAS,12.944524,153,17828273.38,1377283
2026-09-04,AAV,62.077527,1969,121669593.47,1959962
2026-09-04,ABG,125.776073,178,16085459013.88,127889658
2026-09-04,ABJ,0.693453,3,927384316.61,1337341991
2026-09-04,ABU,0.106633,37,61879696.01,580303972
2026-09-04,AC1,3.273869,199,343354047.03,104877158
2026-09-04,AC2,2.777477,44,20630885239.89,7427922197
2026-09-04,AC3,64.1066,14,134018821.97,2090562
2026-09-04,AC4,4.06653,4170,2288299744.03,562715528
2026-09-04,AC5,3.764041,147,22961021.42,6100099
2026-09-04,AC6,58.062567,79,75877033.41,1306815
2026-09-04,AC7,4.818259,44,3108259790.36,645100136
2026-09-04,AC8,187.421136,96,2838215153.91,15143517
2026-09-04,ACC,43.793075,1311,115529286.07,2638072
2026-09-04,ACD,6.132886,1482,351541503.06,57320729.766
2026-09-04,ACN,12.715352,16,652767328.64,51336945
2026-09-04,ACU,57.483802,157,1448988000.24,25206892
2026-09-04,ADE,0.896294,25651,698688430.9,779530462
2026-09-04,ADP,1.278723,21304,3900606804.4,3050393338
2026-09-04,AED,115.120872,1394,66011815.04,573413.09
2026-09-04,AES,0.191296,35128,1397652252.72,7306211507
2026-09-04,AEV,2.050002,417,8833134.71,4308841
2026-09-04,AFA,1.304728,47029,5525378696.42,4234890656
2026-09-04,AFO,1.348024,81742,19548442588.6,14501551035
2026-09-04,AFS,0.35953,29360,927284893.69,2579160986
2026-09-04,AFT,0.971442,137744,18825648599,19379085314
2026-09-04,AFV,0.608842,14960,1265040675.83,2077781659
2026-09-04,AGC,9.472561,2481,103575071.5,10934221
2026-09-04,AHH,11.045627,15,236051776.33,21370610
2026-09-04,AHI,35.679383,2681,112408858.51,3150527
2026-09-04,AHN,70.256467,108,35294038.92,502360
2026-09-04,AHU,11.521039,596,109282847.76,9485503
2026-09-04,AHV,21.844006,198,135479300.09,6202127
2026-09-04,AHZ,31.784399,13,100528333.87,3162820
2026-09-04,AI1,1.265578,17,61909190.14,48917729
2026-09-04,AIH,16.916716,4,160889203.16,9510664
2026-09-04,AII,97.316187,3,383620408.28,3942000
2026-09-04,AIM,26.992608,1,58365765.17,2162287
2026-09-04,AIR,167.279727,3,1497706252.7,8953304
2026-09-04,AIS,0.109032,22637,15964510903.73,146420703112
2026-09-04,AJ1,1.348216,89,10250578.19,7603067
2026-09-04,AJE,63.888371,939,2824523229.83,44210287
2026-09-04,AJK,65.13927,132,125027468.81,1919387
2026-09-04,AJL,64.897013,1259,4602978163.76,70927427
2026-09-04,AJN,62.184058,265,406592947.38,6538540
2026-09-04,AK2,0.555976,9174,246184020.13,442796115
2026-09-04,AK3,52.388413,20538,8003334640.77,152769175
2026-09-04,AKE,0.531443,13398,1047626003.03,1971286395
2026-09-04,AKU,0.962292,17237,2319544651.92,2410436553
2026-09-04,AL4,4.047183,12,1289213996.67,318546011
2026-09-04,AL5,54.398064,2351,13680520684.86,251489110
2026-09-04,AL6,3.961026,12,5650771705.46,1426593054
2026-09-04,AL7,3.817833,110,8816131273.54,2309197638
2026-09-04,ALC,0.372315,24948,1623939330.26,4361730129
2026-09-04,ALE,13.706487,150235,92016792022.4,6713375455
2026-09-04,AN1,112.555076,2859,1352798693.64,12018993.248
2026-09-04,ANL,38.037298,3613,620290228.42,16307421
2026-09-04,ANZ,21.967209,157,259998457.92,11835753
2026-09-04,AOJ,1.569702,201,19788222.28,12606359
2026-09-04,AOY,0.351201,35682,993917227.36,2830049993
2026-09-04,AP2,2.905226,34,811245781.54,279236705
2026-09-04,AP4,0.956016,11,238256635.28,249218342
2026-09-04,AP5,0.829221,17,865639.38,1043919
2026-09-04,AP6,6.447658,45,614623353.32,95325048
2026-09-04,AP7,2.69532,449,252890267.89,93825676
2026-09-04,APJ,6.754597,2890,81403002.71,12051497
2026-09-04,APP,33.092214,2,212303162.91,6415502
2026-09-04,APT,0.165066,13125,357862219.58,2167993865
2026-09-04,ARE,0.262315,2068,52186054.26,198943889
2026-09-04,ARF,8.997774,1,812947933.57,90349894
2026-09-04,ARL,16.130989,7363,4030711470.62,249873792
2026-09-04,ARM,18.424949,5054,3028728251.38,164381905
2026-09-04,ARP,41.701423,1,3151126194.97,75563996
2026-09-04,AS1,45.86205,36,6365698.47,138801
2026-09-04,AS3,0.741047,16,167363949.29,225848060
2026-09-04,ASJ,3.876706,749,59519037.59,15352992
2026-09-04,ATJ,22.449204,9,1016823961.47,45294433
2026-09-04,AU1,1.21536,924,52513226.13,43207973
2026-09-04,AUV,50.379307,534,417514321.64,8287417
2026-09-04,AVC,127.184822,12,258020102.95,2028702
2026-09-04,AVT,229.930778,20216,4399449743.96,19133801
2026-09-04,AVZ,94.191754,1,216873688.79,2302470
2026-09-04,AY6,1.389864,11,108773799.9,78262194
2026-09-04,AY7,1.703094,12,322060993.11,189103512
2026-09-04,AYA,18.497694,9543,1060633545.14,57338690
2026-09-04,AYR,0.142022,13092,1667054976.69,11737973661
2026-09-04,AZF,0.188601,4,627129591.91,3325162435
2026-09-04,AZJ,21.323581,66,2003785439.72,93970399
2026-09-04,AZV,27.59262,5,4623635074.54,167567815
2026-09-04,AZZ,64.388473,6,25533933735.44,396560633
2026-09-04,BA1,1.959773,36,400532248,204376901
2026-09-04,BAC,1.40004,12,1196604041.7,854692790
2026-09-04,BAG,1.049609,191,99764031.97,95048785
2026-09-04,BAI,1.108503,124,62007057.63,55937661
2026-09-04,BAL,50.496667,1,1109628398.96,21974290
2026-09-04,BAO,2.871398,4,67470340.84,23497385
2026-09-04,BAS,54.480798,1,1558738348.47,28610784
2026-09-04,BBF,3.650131,894,148492370.85,40681384
2026-09-04,BBI,1.175307,11,799122.03,679926
2026-09-04,BBN,0.486694,13,1119670396.35,2300561650
2026-09-04,BBO,0.409359,11,141764200.53,346308033
2026-09-04,BBP,2.290367,607,22865558.91,9983362
2026-09-04,BBS,1.640652,716,2360631678.51,1438837203
2026-09-04,BCC,78.884737,3,3290449552.42,41712119
2026-09-04,BCK,2.067837,2366,115747822.09,55975303
2026-09-04,BCO,2.010658,1410,116527611.68,57954964
2026-09-04,BDA,57.264016,784,5903242542.52,103088168
2026-09-04,BDC,9.155713,29,357519739.22,39048815
2026-09-04,BDI,0.000242,72,261182356.43,1078899892195
2026-09-04,BDO,2.468482,11,2444466875.34,990271266
2026-09-04,BDS,1.991261,7459,190816473.35,95826930
2026-09-04,BDY,1.716904,2369,104417469.66,60817312
2026-09-04,BFE,1.81422,55,10163232.71,5601986
2026-09-04,BFO,54.491139,1,11092376701.9,203562943
2026-09-04,BFS,1.109903,295,22651738.44,20408749
2026-09-04,BFT,1.174317,586,185827920.09,158243466
2026-09-04,BGH,2.276985,1,1070249815.51,470029440
2026-09-04,BGP,6.632975,28928,65543489542.91,9881461498
2026-09-04,BGR,0.971221,247,32198533.74,33152637
2026-09-04,BHA,1.746109,770,93702291.82,53663475
2026-09-04,BHE,1.821692,97,36819659.04,20211788
2026-09-04,BHF,3.036246,1448,174246061.85,57388659
2026-09-04,BHH,0.181174,71,351026166.13,1937513173
2026-09-04,BHI,2.38534,441,2292545765.28,961098205
2026-09-04,BHL,1.239595,768,90285372.35,72834578
2026-09-04,BHN,1.151823,42,541072853.92,469753460
2026-09-04,BHO,1.214366,1,1487352596.5,1224797601
2026-09-04,BI5,0.893193,11,2526688.68,2828828
2026-09-04,BIA,0.221717,18,827510.6,3732290
2026-09-04,BID,3.246507,2019,227298593.47,70013285
