tarih,fonKodu,fonUnvan,fiyat,kisiSayisi,portfoyBuyukluk,tedPaySayisi
2026-09-15,AAL,ATA PORTFÖY PARA PİYASASI (TL) FONU,0,4489,0,0
2026-09-15,AAS,ATA PORTFÖY FON SEPETİ SERBEST FONU,0,152,0,0
2026-09-15,AAV,ATA PORTFÖY İKİNCİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),0,1948,0,0
2026-09-15,ABG,ATLAS PORTFÖY DÖRDÜNCÜ SERBEST (TL) FON,134.755632,181,17612032603.93,130696078
2026-09-15,ABJ,ALLBATROSS PORTFÖY BENZ HİSSE SENEDİ SERBEST (TL) ÖZEL FON (HİSSE SENEDİ YOĞUN FON),0.683387,3,913922392.31,1337341991
2026-09-15,ABU,AK PORTFÖY BİREBİR BANKACILIK DEĞİŞKEN ÖZEL FON,0.107809,37,62561801.35,580303972
2026-09-15,AC1,PARDUS PORTFÖY KISA VADELİ KATILIM SERBEST FONU,3.309439,198,338300098.75,102222808
2026-09-15,AC2,PARDUS PORTFÖY İKİNCİ SERBEST FON,2.886635,44,21441698702.36,7427922197
2026-09-15,AC3,PARDUS PORTFÖY ÜÇÜNCÜ SERBEST (DÖVİZ) FON,64.714613,14,135289909.95,2090562
2026-09-15,AC4,PARDUS PORTFÖY PARA PİYASASI (TL) FON,4.112637,4223,2057356850.76,500252510
2026-09-15,AC5,PARDUS PORTFÖY İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),3.795655,145,23208638.59,6114528
2026-09-15,AC6,PARDUS PORTFÖY DÖRDÜNCÜ SERBEST (DÖVİZ) FON,58.23776,82,76880133.05,1320108
2026-09-15,AC7,PARDUS PORTFÖY BİRİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),5.053566,44,3260056141.51,645100136
2026-09-15,AC8,PARDUS PORTFÖY İKİNCİ HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),192.355334,96,2912936264.09,15143517
2026-09-15,ACC,İSTANBUL PORTFÖY DÖRDÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),44.634557,1279,117545863.98,2633517
2026-09-15,ACD,İSTANBUL PORTFÖY İKİNCİ DEĞİŞKEN FON,6.249544,1496,359663944.94,57550433.766
2026-09-15,ACN,İSTANBUL PORTFÖY LİDYA SERBEST (DÖVİZ) FON,12.798985,16,653280498.83,51041587
2026-09-15,ACU,İSTANBUL PORTFÖY URARTU SERBEST (DÖVİZ) FON,57.934382,163,1474997091.26,25459788
2026-09-15,ADE,AK PORTFÖY MUTLAK GETİRİ HEDEFLİ DEĞİŞKEN FON,0.894987,25530,681243474.32,761177097
2026-09-15,ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),1.308438,21477,4158629140.46,3178316231
2026-09-15,AED,ATA PORTFÖY BİRİNCİ DEĞİŞKEN FON,0,1387,0,0
2026-09-15,AES,AK PORTFÖY PETROL YABANCI BYF FON SEPETİ FONU,0,36295,0,0
2026-09-15,AEV,ALLBATROSS PORTFÖY SANAYİ ŞİRKETLERİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),2.085818,401,8952177.59,4291927
2026-09-15,AFA,AK PORTFÖY AMERİKA YABANCI HİSSE SENEDİ FONU,1.290854,47134,5447189190.61,4219832473
2026-09-15,AFO,AK PORTFÖY ALTIN FONU,1.321754,81477,18984797386.15,14363338143
2026-09-15,AFS,AK PORTFÖY SAĞLIK SEKTÖRÜ YABANCI HİSSE SENEDİ FONU,0.352573,29273,913869245.32,2592000950
2026-09-15,AFT,AK PORTFÖY YENİ TEKNOLOJİLER YABANCI HİSSE SENEDİ FONU,0.973561,137055,18671746225.46,19178805418
2026-09-15,AFV,AK PORTFÖY AVRUPA YABANCI HİSSE SENEDİ FONU,0.599167,14778,1219367910.56,2035105794
