bistKodu,paySayisi,paySayisiKaynak,ozkaynak,netKar4C,netBorc,favok4C,donenVarlik,kvYukumluluk,donem,grup,kaynak,olcumTarihi
AEFES,5921052000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",252419350000.0,11928792691.0,3574109000.0,16056521175.0,149313957000.0,144975815000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
AKBNK,5200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",324746000000.0,66773181000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
AKSEN,1226338236.0,"ödenmiş sermaye, nominal 1 TL varsayımı",74809222671.0,4121596945.0,19738688294.0,4100596552.0,20100545374.0,32860180398.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ALKLC,112000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",2971045561.0,-372876415.0,2719679491.0,150694182.0,4302336175.0,4355794725.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ALTNY,1000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",5895395978.0,68693540.0,1822561083.0,384392135.0,6060057381.0,5060081185.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ANELE,265000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",771720029.0,-2947574744.0,-158710897.0,12002266.0,9809232153.0,9268154698.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ASELS,4560000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",308524609000.0,43302655342.0,25238146000.0,7905477999.0,248765565000.0,169003469000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ASTOR,998000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",43796220222.0,11802855440.0,2144567963.0,1512184896.0,47911637563.0,23851729411.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ATATR,802845890.0,"ödenmiş sermaye, nominal 1 TL varsayımı",7705997519.0,1131069186.0,-364906024.0,353417084.0,1302592030.0,1040593369.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BIGEN,577000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3578010414.0,-99132404.0,800910185.0,375710760.0,344898228.0,1178879337.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BIMAS,1200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",203137363000.0,31314488528.0,11024137000.0,30170307842.0,152411807000.0,147697793000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BINHO,1290150000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",14327909467.0,-3642737785.0,191959785.0,8198204.0,1490667921.0,1034644341.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BLUME,174710256.0,"ödenmiş sermaye, nominal 1 TL varsayımı",578956043.0,-88737318.0,36830289.0,63492103.0,451366208.0,105154855.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BOBET,380000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",7179856067.0,-1283064423.0,3831273206.0,1942255471.0,7390393062.0,7056870117.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BRSAN,141772000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",43402505000.0,2696435552.0,3721545000.0,2667976397.0,52151003000.0,46965897000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
BSOKE,,,,,,,,,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
CCOLA,2798079000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",104541385000.0,24063845395.0,-3663803000.0,9421477348.0,105651591000.0,93725156000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
CIMSA,945591000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",47460704000.0,4663039544.0,5337039000.0,5207053011.0,23984083000.0,27299406000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
CITAS,150000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",5684849328.0,1924080675.0,-532969987.0,173543997.0,1962657425.0,527085355.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
CWENE,1078290009.0,"ödenmiş sermaye, nominal 1 TL varsayımı",17726875532.0,3383159962.0,4631080651.0,1014691214.0,21052996591.0,18358704525.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
DAPGM,2650000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",17686561426.0,1025847255.0,20596386.0,51001751.0,11872851994.0,5007618942.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
DSTKF,,,,,,,,,,,İş Yatırım MaliTablo: tablo yok,2026-09-15
EFOR,2178000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",5377898768.0,19452879.0,2396825052.0,188824743.0,8941844439.0,7722990701.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
EGEGY,200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",2665488806.0,1359931604.0,358439015.0,11509375.0,5084245918.0,3815472800.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
EKGYO,3800000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",154331604000.0,350492873.0,-9882597000.0,201991415.0,387011301000.0,177353069000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ENKAI,6021689000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",416755566000.0,45489023254.0,-49759136000.0,7404936731.0,248557693000.0,84728253000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
EREGL,7000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",328781051000.0,7802707033.0,-61793352000.0,15820101954.0,265474934000.0,148785900000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
EUPWR,660000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",14233189000.0,1084059085.0,1142471000.0,495105147.0,17641916000.0,8141810000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
FROTO,3509100000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",179191213000.0,37370704986.0,1584411000.0,20535116933.0,238888865000.0,186133489000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GARAN,4200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",487168000000.0,120698488000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
GENIL,4500000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",13052868656.0,1434026658.0,5030253582.0,481245635.0,12006089268.0,9313922649.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GESAN,460000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",23442462000.0,1659945515.0,2965437000.0,644666551.0,33061531000.0,15389292000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GIPTA,132000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3589894914.0,-216705238.0,-1470538435.0,52280373.0,2805782927.0,448206720.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GLRMK,322600000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",28377825383.0,4618232662.0,-12280189994.0,1292033227.0,69017535183.0,29260156495.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
GUBRF,,,,,,,,,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
HALKB,7185000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",234602000000.0,32827506000.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
HEDEF,3000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",7123223104.0,2334124621.0,972407145.0,16813215.0,29509016.0,984668202.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
ISCTR,24999970000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",453171456194.0,67663747803.0,,,,,2026-06,UFRS,İş Yatırım MaliTablo,2026-09-15
ISVEA,220000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1635521706.0,188335263.0,1921523572.0,173579135.0,3379128530.0,2549107003.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KARCL,720000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",11284211547.0,1443201639.0,6221990641.0,371172211.0,11448989818.0,11486190405.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KARSN,900000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",8205042000.0,255645824.0,7399168000.0,915912542.0,11268526000.0,11238240000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KCHOL,2536000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1291998000000.0,39979041242.0,381502000000.0,85828881873.0,3615149000000.0,3995224000000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KGYO,1000000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",1449389127.0,-881495704.0,1093530866.0,12359622.0,2239839516.0,2832162443.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KORDS,194529076.0,"ödenmiş sermaye, nominal 1 TL varsayımı",21791250825.0,-702885750.0,4209863746.0,2218747007.0,22618927317.0,18502607713.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KRDMD,780226002.0,"ödenmiş sermaye, nominal 1 TL varsayımı",74151306754.0,2910163919.0,-910337742.0,2606607872.0,32403789067.0,23181391264.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
KTLEV,,,,,,,,,,,İş Yatırım MaliTablo: tablo yok,2026-09-15
KZGYO,200000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",13648801280.0,-1521551314.0,214149601.0,2816300.0,259538773.0,1229073204.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MANAS,331056000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",570849023.0,-717466504.0,380878488.0,136329758.0,892769185.0,926516015.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MARTI,,,,,,,,,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MCARD,92600000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",2734812336.0,1176866787.0,-329675265.0,331557210.0,6843757805.0,5825460106.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MGROS,181054000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",93928374000.0,7305396417.0,-27575916000.0,21257879346.0,88377363000.0,110563173000.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
MOBTL,1025000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",9757482707.0,846389943.0,2154037734.0,77108924.0,4641186400.0,3658441003.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
NETCD,137000000.0,"ödenmiş sermaye, nominal 1 TL varsayımı",3562547307.0,1466006146.0,-670505810.0,340399410.0,1657200116.0,217464196.0,2026-06,XI_29,İş Yatırım MaliTablo,2026-09-15
